id_educ,Year,PrimaryClassEnrollment(%),SecondaryClassEnrollment(%),id_country
0,2002,71.6497116088867,,0
1,2003,96.8907165527344,12.9918804168701,0
2,2004,108.499900817871,18.1941604614258,0
3,2005,101.476837158203,19.2837200164795,0
4,2006,104.914390563965,29.196720123291,0
5,2007,101.782279968262,29.3682193756104,0
6,2008,103.400573730469,39.2865104675293,0
7,2009,99.1636810302734,45.6457099914551,0
8,2010,102.163848876953,51.981689453125,0
9,2011,99.3715209960938,53.249698638916,0
10,2012,105.09497833252,55.1750907897949,0
11,2013,105.983871459961,55.0986709594727,0
12,2014,107.36792755127,54.0150108337402,0
13,2015,107.225357055664,53.9302711486816,0
14,2016,,,0
15,2002,101.898002624512,73.2416610717773,2
16,2003,100.463317871094,75.6270217895508,2
17,2004,98.603889465332,75.1792068481445,2
18,2005,101.093452453613,78.3024597167969,2
19,2006,98.2705612182617,79.5964279174805,2
20,2007,96.7381820678711,82.6511611938477,2
21,2008,96.0839767456055,84.6204376220703,2
22,2009,93.506477355957,86.2276306152344,2
23,2010,93.8354721069336,88.6185913085938,2
24,2011,95.2204284667969,90.213752746582,2
25,2012,98.6022186279297,92.6074523925781,2
26,2013,102.268028259277,95.7796325683594,2
27,2014,107.672760009766,96.3285522460938,2
28,2015,109.76244354248,95.7541427612305,2
29,2016,109.777412414551,94.9813766479492,2
30,2002,105.142440795898,71.5501708984375,3
31,2003,106.002967834473,73.7339630126953,3
32,2004,107.000122070313,77.1762084960938,3
33,2005,107.675239562988,78.7266464233398,3
34,2006,108.194221496582,79.7143783569336,3
35,2007,109.51815032959,70.1982192993164,3
36,2008,109.177192687988,76.6469268798828,3
37,2009,112.254661560059,92.9189834594727,3
38,2010,115.226409912109,96.9919509887695,3
39,2011,116.461952209473,99.6549530029297,3
40,2012,117.924430847168,,3
41,2013,119.36506652832,,3
42,2014,118.33927154541,,3
43,2015,115.718521118164,,3
44,2016,113.646507263184,,3
45,2002,,15.1415901184082,6
46,2003,,,6
47,2004,,,6
48,2005,,,6
49,2006,,,6
50,2007,98.3860321044922,,6
51,2008,104.510292053223,21.4987602233887,6
52,2009,103.427932739258,22.908390045166,6
53,2010,105.054588317871,26.4896793365479,6
54,2011,118.651786804199,26.6794395446777,6
55,2012,,,6
56,2013,,,6
57,2014,,,6
58,2015,,,6
59,2016,,,6
60,2002,,,9
61,2003,,,9
62,2004,,,9
63,2005,,,9
64,2006,,,9
65,2007,95.8412704467773,96.0421524047852,9
66,2008,95.7674102783203,104.12744140625,9
67,2009,93.6856079101563,101.929718017578,9
68,2010,94.0419464111328,99.3756637573242,9
69,2011,91.4182205200195,98.6111068725586,9
70,2012,88.7276077270508,97.2957305908203,9
71,2013,,,9
72,2014,87.7501678466797,93.5812835693359,9
73,2015,87.6108474731445,93.6140518188477,9
74,2016,,,9
75,2002,118.76197052002,96.5699081420898,10
76,2003,116.503356933594,95.7527084350586,10
77,2004,117.814086914063,95.4972610473633,10
78,2005,117.133293151855,94.0060119628906,10
79,2006,118.838752746582,93.3478164672852,10
80,2007,119.352691650391,93.7097015380859,10
81,2008,119.444183349609,95.248176574707,10
82,2009,118.21312713623,98.8311767578125,10
83,2010,116.719512939453,101.800773620605,10
84,2011,114.773109436035,103.603286743164,10
85,2012,112.979568481445,105.196243286133,10
86,2013,110.559577941895,106.324806213379,10
87,2014,109.973167419434,106.778343200684,10
88,2015,109.926261901855,107.07502746582,10
89,2016,,,10
90,2002,95.376106262207,,11
91,2003,94.2001724243164,,11
92,2004,94.9227066040039,89.3463668823242,11
93,2005,95.4410629272461,92.0542831420898,11
94,2006,100.155799865723,94.9413299560547,11
95,2007,113.284599304199,96.4233322143555,11
96,2008,114.515449523926,94.966796875,11
97,2009,110.845710754395,100.124977111816,11
98,2010,,,11
99,2011,,,11
100,2012,,,11
101,2013,,,11
102,2014,,,11
103,2015,94.7756576538086,86.0376129150391,11
104,2016,94.3443298339844,,11
105,2002,111.010833740234,100.520683288574,12
106,2003,109.214302062988,99.0911712646484,12
107,2004,110.839050292969,97.25244140625,12
108,2005,111.37671661377,95.9417572021484,12
109,2006,114.251152038574,97.3563690185547,12
110,2007,115.211578369141,102.559753417969,12
111,2008,113.091613769531,94.6491317749023,12
112,2009,113.801788330078,96.7360229492188,12
113,2010,113.794296264648,95.8235397338867,12
114,2011,105.255859375,97.0278778076172,12
115,2012,104.087127685547,111.159767150879,12
116,2013,116.03929901123,,12
117,2014,117.108093261719,,12
118,2015,,,12
119,2016,,,12
120,2002,101.262161254883,,13
121,2003,101.400741577148,,13
122,2004,102.015960693359,,13
123,2005,102.536460876465,,13
124,2006,103.156471252441,,13
125,2007,105.115371704102,,13
126,2008,105.175338745117,,13
127,2009,105.449256896973,,13
128,2010,105.88410949707,,13
129,2011,106.076728820801,,13
130,2012,106.474319458008,,13
131,2013,106.560188293457,,13
132,2014,106.070037841797,,13
133,2015,102.223190307617,158.147186279297,13
134,2016,101.340301513672,153.848266601563,13
135,2002,101.251480102539,99.0211715698242,14
136,2003,100.463821411133,99.4792022705078,14
137,2004,100.721321105957,99.5235595703125,14
138,2005,100.832618713379,100.35334777832,14
139,2006,101.559288024902,100.329963684082,14
140,2007,101.67839050293,99.7160263061523,14
141,2008,100.748489379883,99.4430465698242,14
142,2009,100.237617492676,99.6846084594727,14
143,2010,99.8186264038086,98.8359603881836,14
144,2011,99.7387008666992,98.0614700317383,14
145,2012,100.524833679199,97.7712173461914,14
146,2013,101.036033630371,99.026496887207,14
147,2014,101.388572692871,99.4277801513672,14
