"id_meteo","id_pays","annee","automne_tavg","hiver_tavg","printemps_tavg","ete_tavg","automne_tmax","hiver_tmax","printemps_tmax","ete_tmax","automne_tmin","hiver_tmin","printemps_tmin","ete_tmin"
"48","66","2018","26.5231","27.2444","26.8413","25.4467","30.0758","31.4021","30.4842","28.5762","23.2615","23.1672","23.7185","22.8976"
"49","68","2018","4.39121","-3.81556","9.5087","17.7565","6.74835","-1.82778","14.1527","21.7533","2.11429","-6.01444","4.28333","13.4696"
"50","71","2018","7.02418","3.93556","6.99674","10.8717","8.70989","5.7","9.21087","13.0989","5.06593","1.67333","5.00978","9.22935"
"51","72","2018","24.9154","26.6133","24.5598","22.8231","28.4071","30.8694","28.6558","26.7743","21.8341","23.088","21.4406","18.8768"
"52","73","2018","4.65275","-4.30444","9.25978","18.0609","6.87033","-1.91667","13.2717","21.4196","2.27253","-6.90444","5.13043","14.6891"
"53","74","2018","10.8648","5.84222","15.6326","21.8663","14.5484","8.82222","20.9033","27.8891","7.78462","3.51778","11.3663","16.8402"
"54","75","2018","27.178","26.1167","26.338","26.4902","32.2407","29.9778","30.5264","32.0109","23.3385","23.6146","23.9258","22.3967"
"55","76","2018","26.5626","26.9733","26.3663","25.1478","30.144","30.6966","30.1988","28.7556","23.2593","23.8402","22.8988","21.6989"
"56","77","2018","24.5538","26.8012","24.5689","21.8293","27.911","29.9235","27.9","25.4185","21.2516","24.0647","21.6444","18.4109"
"57","78","2018","26.4802","27.2367","26.9293","25.337","28.9923","29.9613","29.7537","27.7211","23.8505","23.3543","22.8867","22.8681"
"58","79","2018","26.311","23.7111","24.5989","26.5374","32.9396","33.3","33.393","30.8329","20.9791","16.7845","19.1274","23.2388"
"59","81","2018","7.74396","1.84333","15.4815","20.4065","11.0626","4.66556","20.9207","26.1685","4.9044","-0.966667","9.76957","14.8478"
"60","82","2018","27.9066","28.4811","27.9522","25.8891","31.9473","32.6407","31.7725","29.1071","24.9308","25.6781","25.2447","23.9326"
"61","83","2018","17.6495","13.3933","17.0696","23.1978","20.1341","15.8644","20.3815","26.8935","15.4725","10.87","14.325","20.275"
"62","84","2018","16.2945","11.9878","21.2815","27.0946","19.8011","15.7348","26.708","32.067","13.3","8.55795","16.3736","22.5756"
"63","85","2018","-2.73516","-8.25222","-1.15543","6.29022","-0.294506","-6.92333","1.01739","8.93478","-4.04505","-11.2756","-4.42283","3.575"
"64","86","2018","27.2011","25.8557","27.02","27.4929","29.8308","28.5786","29.3933","29.9847","24.7747","23.7186","25.0417","25.2871"
"65","87","2018","25.6791","22.9956","25.0462","26.7689","29.478","28.2753","29.3462","30.1956","22.5198","20.6045","22.4231","23.3578"
"66","88","2018","28.5604","27.6444","28.5663","28.2826","31.7055","31.1956","31.6641","31.3261","26.1066","24.9811","26.1413","25.85"
"67","90","2018","11.6538","7.24944","11.8835","17.487","13.5604","8.86629","14.6495","20.7239","9.74286","5.49438","9.53956","14.5935"
"68","91","2018","27.2791","26.9372","27.7033","25.6317","30.7934","31.6314","31.5616","28.0373","23.8176","22.8937","24.1403","23.3747"
"69","92","2018","27.6231","26.2211","27.7109","26.6011","32.3132","33.105","34.2789","29.9774","22.7341","19.0818","0","23.6603"
"70","93","2018","27.7582","27.2826","27.4217","27.4875","30.4011","29.1782","29.3607","30.0513","23.8495","23.4758","23.9833","23.835"
"71","98","2018","23.5286","17.3856","26.1824","29.0326","26.0033","20.1056","29.1857","31.6891","21.4121","15.0811","23.7901","26.862"
"72","99","2018","8.54945","2.44222","18.0815","22.4533","12.8286","5.13933","23.5011","28.1576","4.99231","-0.225287","12.7543","16.9011"
